objectid,title,location,description,latitude,longitude,film,object_location,image_alt_text,source
loc-boog1,Reseda Theatre,18443 Sherman Way,The opening shot of Boogie Nights was filmed at the Reseda Theatre.,34.20169602,-118.5354566,Boogie Nights,,,
loc-boog2,Hot Traxx Disco,18419 Sherman Way,"After the film's title appears on the facade of the Reseda Theatre, the camera floats over to Hot Traxx Disco, a fictional nightclub. This location is now home to Iglesia de Restauración, a Mexican church.",34.20141802,-118.5345712,Boogie Nights,,,
loc-boog3,Du-par's Restaurant,12036 Ventura Blvd,Eddie has dinner with Jack Horner and Amber Waves at Du-par's Restaurant. This location is currently a Sephora.,34.14358923,-118.3937713,Boogie Nights,,,
loc-boog4,Eddie's Parents' Gouse,3503 W 187th St,"At the beginning of the film, Eddie lives in Torrance, Los Angeles.",33.8777408,-118.3345764,Boogie Nights,,,
loc-boog5,Jack's House,19515 E Cameron Avenue,The filming location for Jack Horner's house can be found in the city of Covina.,34.05837905,-117.8720953,Boogie Nights,,,
loc-boog6,Saint Catherine of Siena Catholic Church,18115 Sherman Way,Saint Catherine of Siena Catholic Church can be seen in the background as Dirk is picked up by a man.,34.20168256,-118.528138,Boogie Nights,,,
loc-boog7,El Royale Hotel,11117 Ventura Blvd,Todd schemes with Dirk at the the El Royale Hotel in Studio City.,34.14171413,-118.3722613,Boogie Nights,,,
loc-boog8,Rahad Jackson's House,16801 Encino Hills Dr,Todd attempts to rob Rahad Jackson's house. The house is located in Encino.,34.13950145,-118.4990958,Boogie Nights,,,
loc-boog9,Buck's Super Cool Stereo Store,9043 Woodman Avenue,The stereo store where Buck works and later buys to establish Buck's Super Cool Stereo Store is located in Arleta.,34.23389953,-118.440217,Boogie Nights,,,
loc-boog10,Pussycat Theatre,1442 2nd St,The Pussycat Theatre was located at 1442 2nd St. in Santa Monica.,34.04972902,-118.4815185,Boogie Nights,,,
loc-boog11,Dirk's House,4214 Lobos Rd,The house Dirk purchases after finding success in the porn industry is located in the Woodland Hills neighborhood.,34.14577962,-118.5950893,Boogie Nights,,,
loc-boog12,Bridge in Dirk Diggler Documentary,4030 Colfax Ave,The bridge seen in the documentary Amber films about Dirk can be found at this location.,34.14199017,-118.3876875,Boogie Nights,,,
loc-boog14,Miss Donuts,18231 Sherman Way,"Buck witnesses an attempted robbery at this donut shop, and Rollergirl beats up a former classsmate across the street from this location.",34.2016667,-118.5305378,Boogie Nights,,,
loc-hard1,Jimmy's House,756 W 6th St,Sydney confronts Jimmy at his house.,39.53047915,-119.8255211,Hard Eight,,,
loc-hard2,Ace Motor Lodge,222 N Sierra St,Sydney finds John and Clementine holed up in the Ace Motor Lodge in Reno with a man they have beaten up.,39.52742553,-119.8143494,Hard Eight,,,
loc-hard3,Jack's Cafe,2200 Victorian Ave,"Sydney meets John outside Jack's Cafe in Sparks, Nevada.",39.53578418,-119.7737971,Hard Eight,,,
loc-inhe1,The Golden Fang,,"Doc tracks down the Golden Fang in his search for Shasta. The boat is actually the Tallship American Pride, which can be found at dock 3 in Rainbow Harbor in Long Beach.",33.77042457,-118.1994202,Inherent Vice,,,
loc-inhe2,The Chowder Barge,611 N Henry Ford Ave,Doc has lunch with Sauncho at The Chowder Barge.,33.78183959,-118.2426789,Inherent Vice,,,
loc-inhe3,Walker's Cafe,700 W Paseo Del Mar,Doc and Denis have coffee at Walker's Cafe (now closed).,33.71061367,-118.2794144,Inherent Vice,,,
loc-inhe4,Doc's House (exterior),4210 The Strand,Doc lives near the coast on Manhattan Beach (Gordita Beach in Inherent Vice).,33.90398098,-118.4212973,Inherent Vice,,,
loc-inhe5,DA's Office,433 S Spring St,Doc visits Penny at the DA's office.,34.0484981,-118.2491714,Inherent Vice,,,
loc-inhe6,Parker Center (exterior),180 N Los Angeles St,Doc visits the Parker Center to talk to Bigfoot. The Parker Center is the former headquarters of the Los Angeles Police Department (1955–2009).,34.05335215,-118.2409498,Inherent Vice,,,
loc-inhe7,Parker Center (interior),545 San Pedro St,Interior shots of the Parker Center were actually filmed at this location.,34.04358339,-118.2452281,Inherent Vice,,,
loc-inhe8,Wolfman's House,1261 Loma Vista Dr,Mickey Wolfman lives in Beverly Hills.,34.10029696,-118.3985229,Inherent Vice,,,
loc-inhe9,Rainy Flashback Street,407 W 2nd St,"The rainy flashback in Inherent Vice was filmed in Pomona, CA.",,,Inherent Vice,,,
loc-inhe10,Doc on Street,3200 Alameda St,"Doc is seen briefly wandering the street in Compton, CA.",33.92089491,-118.2235552,Inherent Vice,,,
loc-inhe11,Housing Development,65th St W & W Ave J,"The housing development (now fully realized) can be found in Lancaster, CA.",34.68941689,-118.2453549,Inherent Vice,,,
loc-inhe12,Doc's House (interior),214 El Porto St,This location was used for interior shots of Doc's house.,33.90243739,-118.4190954,Inherent Vice,,,
loc-lico1,Gary's School,18720 Linnet Street,Scenes at Gary's school were filmed at Gaspar de Portola Charter Middle School.,34.16628397,-118.5426288,Licorice Pizza,,,
loc-lico2,Tail O' the Cock,6550 Odessa Avenue,PTA and crew converted Billingsley Restaurant into the Tail O' the Cock restaraunt and golf course in Van Nuys for Licorice Pizza.,34.190205,-118.4886481,Licorice Pizza,,,
loc-lico3,Encino 76 Gas Station,16900 Ventura Blvd,Gary and his crew stop at this gas station.,34.15927459,-118.5019756,Licorice Pizza,,,
loc-lico4,Election Office,21702 Sherman Way,The Sofa Place Furniture was used to film scenes as Joel Wachs's election office.,34.20091212,-118.6017691,Licorice Pizza,,,
loc-lico5,Fat Bernie's Pinball Arcade,21758 Devonshire Street,"Fat Bernie's, Gary's waterbed store and, later, arcade, is located in Chatsworth.",34.25727366,-118.6036622,Licorice Pizza,,,
