objectid,title,location,description,latitude,longitude,film,image_thumb,image_alt_text,source
supp-80008,Reseda Theatre,18443 Sherman Way,"The opening shot of the film was filmed at the <a href=""https://losangelestheatres.blogspot.com/2020/01/reseda-theatre.html"">Reseda Theater</a>.",34.20169602,-118.5354566,Boogie Nights,"https://ptannotated.com/iiif/supp/supp-80008/tiles/full/300,225/0/default.jpg","The outside of a theater, with sign ""Reseda Theater""",
supp-80002,Hot Traxx Disco,18419 Sherman Way,"After the film's title appears on the facade of the <a href=""https://losangelestheatres.blogspot.com/2020/01/reseda-theatre.html"">Reseda Theater</a>, the camera floats over to Hot Traxx Disco, a fictional nightclub. This location is now home to <a href=""https://myirest.com/"">Inglesia de Restauración</a>
, a Mexican church.",34.20141802,-118.5345712,Boogie Nights,"https://ptannotated.com/iiif/supp/supp-80002/tiles/full/300,225/0/default.jpg","A building with sign saying ""iRest Restauración Reseda""",
loc-boog3,Du-par's Restaurant,12036 Ventura Blvd,Dirk has dinner with Jack and Amber at Du-par's Restaurant. This location is currently a Sephora.,34.14358923,-118.3937713,Boogie Nights,,,
supp-80001,Eddie's Parents' House,3503 W 187th St,"At the beginning of the film, Dirk lives in Torrance, Los Angeles.",33.8777408,-118.3345764,Boogie Nights,"https://ptannotated.com/iiif/supp/supp-80001/tiles/full/300,225/0/default.jpg",A street view of a small suburban house and driveway,
loc-boog5,Jack's House,19515 E Cameron Avenue,The filming location for Jack's house can be found in the city of Covina.,34.05837905,-117.8720953,Boogie Nights,,,
supp-80000,Saint Catherine of Siena Catholic Church,18115 Sherman Way,"<a href=""https://scschurch.com/"">Saint Catherine of Siena Catholic Church</a>
can be seen in the background as Dirk is picked up by a man.",34.20168256,-118.528138,Boogie Nights,"https://ptannotated.com/iiif/supp/supp-80000/tiles/full/300,225/0/default.jpg",The exterior of a church with large mural,
supp-80009,El Royale Hotel,11117 Ventura Blvd,"Todd schemes with Dirk at the the <a href=""https://elroyalehollywood.thelosangeleshotels.com/en/"">El Royale Hotel</a> in Studio City.",34.14171413,-118.3722613,Boogie Nights,"https://ptannotated.com/iiif/supp/supp-80009/tiles/full/300,225/0/default.jpg","The exterior of a motel, with sign ""El Royale Hotel""",
loc-boog8,Rahad Jackson's House,16801 Encino Hills Dr,Todd attempts to rob Rahad's house. The house is located in Encino.,34.13950145,-118.4990958,Boogie Nights,,,
loc-boog9,Buck's Super Cool Stereo Store,9043 Woodman Avenue,The stereo store where Buck works and later buys to establish Buck's Super Cool Stereo Store is located in Arleta.,34.23389953,-118.440217,Boogie Nights,,,
loc-boog10,Pussycat Theatre,1442 2nd St,"<a href=""https://en.wikipedia.org/wiki/Pussycat_Theaters"">The Pussycat Theater</a> was located at 1442 2nd St. in <a href=""https://losangelestheatres.blogspot.com/2017/03/pussycat-santa-monica.html"">Santa Monica</a>.",34.04972902,-118.4815185,Boogie Nights,,,
