object_id,title,address,description,latitude,longitude,film,object_location,image_alt_text,source
loc-boog1,Reseda Theatre,18443 Sherman Way,Nightclub opening shot,34.20169602,-118.5354566,Boogie Nights,,,
loc-boog2,Restauracion Reseda,18419 Sherman Way,Hot Traxx disco,34.20141802,-118.5345712,Boogie Nights,,,
loc-boog3,Du-par's Restaurant,12036 Ventura Blvd,Eddie's dinner with Jack,34.14358923,-118.3937713,Boogie Nights,,,
loc-boog4,Eddie's parent's house,3503 W 187th St,,33.8777408,-118.3345764,Boogie Nights,,,
loc-boog5,Jack's house,19515 E Cameron Avenue,Jack Horner's house is tucked away in the city of Covina.  The property is not easily visible from the street.,34.05837905,-117.8720953,Boogie Nights,,,
loc-boog6,St Catherine of Siena Catholic Church,18115 Sherman Way,"Dirk gets beaten up. The driveway where Dirk gets picked up by the dude in the pickup truck (across from the church), the parking lot where Dirk gets beaten up.",34.20168256,-118.528138,Boogie Nights,,,
loc-boog7,El Royale Hotel Near Universal Studios Hollywood,11117 Ventura Blvd,Todd schemes with Dirk,34.14171413,-118.3722613,Boogie Nights,,,
loc-boog8,Rahad's house,16801 Encino Hills Dr,,34.13950145,-118.4990958,Boogie Nights,,,
loc-boog9,Buck's stereo store,9043 Woodman Avenue,,34.23389953,-118.440217,Boogie Nights,,,
loc-boog10,Pussycat Theatre,1442 2nd St,Pussycat Theatre,34.04972902,-118.4815185,Boogie Nights,,,
loc-boog11,Dirk's house,4214 Lobos Rd,,34.14577962,-118.5950893,Boogie Nights,,,
loc-boog12,Dirk on bridge in documentary,4030 Colfax Ave,,34.14199017,-118.3876875,Boogie Nights,,,
loc-boog13,,4028 Colfax Ave,"Amber Waves makes a documentary about Dirk Diggler, which itself is based on the documentary Exhausted: John C. Holmes, the Real Story.  The bridge Dirk stands in front of is the Colfax Ave footbridge in Studio City.",34.14189499,-118.3874549,Boogie Nights,,,
loc-boog14,Miss Donuts,18231 Sherman Way,Donut shop robbery. Across Sherman Way from the Donut Shop is where Rollergirl gets her revenge. The gas station on the corner is where Donnie Smith and Jim get pummeled by frogs,34.2016667,-118.5305378,Boogie Nights; Magnolia,,,
loc-hard1,Jimmy's house,756 W 6th St,"Near the end of the film, Sydney awaits Jimmy, played by Samuel L. Jackson, at his house.",39.53047915,-119.8255211,Hard Eight,,,
