objectid,parentid,collection,title,creator,film,source,date,description,subject,timestamp,angle,distance,location,movement,lighting,composition,duration,themes,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,latitude,longitude
loc-boog1,,Supporting Materials,Reseda Theatre,,Boogie Nights,,,Nightclub opening shot,,,,,18443 Sherman Way,,,,,,,,,,,,,,,,,,34.20169602,-118.5354566
loc-boog2,,Supporting Materials,Restauración Reseda,,Boogie Nights,,,Hot Traxx disco,,,,,18419 Sherman Way,,,,,,,,,,,,,,,,,,34.20141802,-118.5345712
boog,,Supporting Materials,Boogie Nights,Paul Thomas Anderson,,"<a href=""https://tripod.brynmawr.edu/permalink/01TRI_INST/vsp7ge/alma991019556461304921"" target=""_blank"" rel=""noopener"">Bryn Mawr: Canaday Library</a>",1997,,Erotic films--Production and direction--California; Pornographic film industry--California; Pornography--Social aspects--California,,,,,,,,,,BLU-RAY PZ15.A516 B663 2013,Image;MovingImage,,eng,,,,,https://proxy-na.hosted.exlibrisgroup.com/exl_rewrite/syndetics.com/index.php?client=primo&upc=794043132926/lc.jpg,https://proxy-na.hosted.exlibrisgroup.com/exl_rewrite/syndetics.com/index.php?client=primo&upc=794043132926/lc.jpg,Cover art for the Warner Brothers Archive Collection edition of Boogie Nights. ,,,
hard,,Supporting Materials,Hard Eight,Paul Thomas Anderson,,"<a href=""https://tripod.brynmawr.edu/permalink/01TRI_INST/1d0lfj4/alma991019556461404921"" target=""_blank"" rel=""noopener"">Bryn Mawr: Canaday Library</a>",1996,,Gamblers; Gambling; Criminals,,,,,,,,,,DVD PZ15.A516 H372 1999,Image;MovingImage,,eng,,,,,,,,,,
inhe,,Supporting Materials,Inherent Vice,Paul Thomas Anderson,,"<a href=""https://tripod.brynmawr.edu/permalink/01TRI_INST/vsp7ge/alma991019556461204921"" target=""_blank"" rel=""noopener"">Bryn Mawr: Canaday Library</a>",2014,,Private investigators; Los Angeles (Calif.)--History--20th century; 1900-1999,,,,,,,,,,BLU-RAY PZ15.A516 I533 2015,Image;MovingImage,,eng,,,,,,,,,,
lico,,Supporting Materials,Licorice Pizza,Paul Thomas Anderson,,"<a href=""https://tripod.brynmawr.edu/permalink/01TRI_INST/1d0lfj4/alma991019556361304921"" target=""_blank"" rel=""noopener"">Bryn Mawr: Canaday Library</a>",2021,,Man-woman relationships; San Fernando Valley (Calif.); First loves; Coming of age,,,,,,,,,,BLU-RAY PZ15.A516 L526 2022,Image;MovingImage,,eng,,,,,https://proxy-na.hosted.exlibrisgroup.com/exl_rewrite/syndetics.com/index.php?client=primo&upc=191329214244/lc.jpg,https://proxy-na.hosted.exlibrisgroup.com/exl_rewrite/syndetics.com/index.php?client=primo&upc=191329214244/lc.jpg,The case for the Blu-ray edition of Licorice Pizza held at Bryn Mawr: Canaday Library.,,,
phan,,Supporting Materials,Phantom Thread,Paul Thomas Anderson,,"<a href=""https://tripod.brynmawr.edu/permalink/01TRI_INST/1d0lfj4/alma991019194881804921"" target=""_blank"" rel=""noopener"">Bryn Mawr: Canaday Library</a>",2017,,Fashion designers--England--London; Dressmakers--England--London; Man-woman relationships--England--London; Fashion designers; Dressmakers; Man-woman relationships; England--London,,,,,,,,,,BLU-RAY PZ15.A526 P536 2018,Image;MovingImage,,eng,,,,,https://proxy-na.hosted.exlibrisgroup.com/exl_rewrite/syndetics.com/index.php?client=primo&upc=191329048030/lc.jpg,https://proxy-na.hosted.exlibrisgroup.com/exl_rewrite/syndetics.com/index.php?client=primo&upc=191329048030/lc.jpg,The case for the Blu-ray edition of Phantom Thread held at Bryn Mawr: Canaday Library.,,,
punc,,Supporting Materials,Punch-Drunk Love,Paul Thomas Anderson,,"<a href=""https://tripod.brynmawr.edu/permalink/01TRI_INST/vsp7ge/alma991019576986504921"" target=""_blank"" rel=""noopener"">Bryn Mawr: Canaday Library</a>",2002,,Man-woman relationships; Sisters; Telephone sex; Extortion,,,,,,,,,,BLU-RAY PZ15.A516 P862 2016,Image;MovingImage,,eng,,,,,https://proxy-na.hosted.exlibrisgroup.com/exl_rewrite/syndetics.com/index.php?client=primo&upc=715515189019/lc.jpg,https://proxy-na.hosted.exlibrisgroup.com/exl_rewrite/syndetics.com/index.php?client=primo&upc=715515189019/lc.jpg,Cover art for the Criterion Collection edition of Punch-Drunk Love. Closeup of a woman embracing a man from behind.,,,
magn,,Supporting Materials,Magnolia,Paul Thomas Anderson,,"<a href=""https://tripod.brynmawr.edu/permalink/01TRI_INST/vsp7ge/alma991019562760504921"" target=""_blank"" rel=""noopener"">Bryn Mawr: Canaday Library</a>",1999,,Criminal behavior; Interpersonal relations; Medication abusers; Murder; Seminars; Social problems; Violence,,,,,,,,,,BLU-RAY PZ15.A516 M34 2010,Image;MovingImage,,eng,,,,,https://proxy-na.hosted.exlibrisgroup.com/exl_rewrite/syndetics.com/index.php?client=primo&isbn=9780780659964/lc.jpg,https://proxy-na.hosted.exlibrisgroup.com/exl_rewrite/syndetics.com/index.php?client=primo&isbn=9780780659964/lc.jpg,The case for the Blu-ray edition of Magnolia held at Bryn Mawr: Canaday Library.,,,
mast,,Supporting Materials,The Master,Paul Thomas Anderson,,"<a href=""https://tripod.brynmawr.edu/permalink/01TRI_INST/vsp7ge/alma991019562760404921"" target=""_blank"" rel=""noopener"">Bryn Mawr: Canaday Library</a>",2012,,"World War, 1939-1945--Veterans; Drifters; Veterans; 1939-1945",,,,,,,,,,BLU-RAY PZ15.A516 M377 2013,Image;MovingImage,,eng,,,,,https://proxy-na.hosted.exlibrisgroup.com/exl_rewrite/syndetics.com/index.php?client=primo&upc=013132597195/lc.jpg,https://proxy-na.hosted.exlibrisgroup.com/exl_rewrite/syndetics.com/index.php?client=primo&upc=013132597195/lc.jpg,The case for the Blu-ray edition of The Master held at Bryn Mawr: Canaday Library.,,,
